Aasta;Kvartal;Maakond;Hoone_liik;Korteriomanditeginute_Arv;Keskmine_m2;Kokku_tehinguhind;Minimaalne_tehingusumma;Maksimaalne_tehingsumma;Minimaalne_pinnaühikuhind;Maksimaalne_pinnaühikuhind;Mediaan_pinnaühikuhind;Keskmine_pinnaühikuhind;Standardhälve_pinnaühikuhind
2018;II;Järva maakond;koretr_55_69.99;25.00;66.40;322400.00;500.00;34000.00;7.26;531.25;161.53;196.17;157.24
2018;II;Järva maakond;koretr_70_249.99;20.00;77.20;278585.00;300.00;37000.00;4.27;418.85;123.90;177.43;152.87
2018;II;Järva maakond;Elamu;39;152.60;1 268 510;100;108 000;0.13;915.25;222.52;283.91;245.37
2018;II;Järva maakond;Suvila;3;***;***;***;***;***;***;***;***;***
2018;II;Lääne maakond;koretr_10_29.99;7.00;27.50;170500.00;12000.00;45500.00;441.18;1756.76;778.99;892.98;420.40
2018;II;Lääne maakond;koretr_30_40.99;20.00;36.20;428470.00;2500.00;73000.00;64.10;2401.32;577.55;612.09;504.24
2018;II;Lääne maakond;koretr_41_54.99;26.00;46.90;693000.00;1000.00;45000.00;19.16;959.49;637.19;567.57;267.04
2018;II;Lääne maakond;koretr_55_69.99;14.00;63.60;407350.00;5850.00;59000.00;85.53;939.49;387.98;454.79;244.13
2018;II;Lääne maakond;koretr_70_249.99;8.00;89.50;295500.00;900.00;99000.00;11.52;694.44;425.20;394.30;266.38
2018;II;Lääne maakond;Elamu;15;131.10;1 048 000;1 000;185 000;11.22;1 151.20;527.78;537.26;291.07
2018;II;Lääne maakond;Suvila;3;***;***;***;***;***;***;***;***;***
2018;II;Lääne-Viru maakond;koretr_10_29.99;19.00;24.80;103925.00;300.00;22000.00;17.75;790.70;111.97;216.12;233.36
2018;II;Lääne-Viru maakond;koretr_30_40.99;60.00;36.40;623663.00;500.00;70000.00;13.12;1808.79;186.53;288.19;333.34
2018;II;Lääne-Viru maakond;koretr_41_54.99;75.00;47.50;1066601.00;256.00;75000.00;6.00;1368.61;196.08;296.49;300.81
2018;II;Lääne-Viru maakond;koretr_55_69.99;57.00;62.60;1239978.00;300.00;70000.00;4.42;1035.50;288.14;348.96;268.60
2018;II;Lääne-Viru maakond;koretr_70_249.99;27.00;79.30;860023.00;2000.00;113000.00;25.77;1417.82;243.28;407.83;390.72
2018;II;Lääne-Viru maakond;Elamu;78;120.60;3 048 690;100;135 000;1.11;1 008.97;256.71;331.14;260.02
2018;II;Lääne-Viru maakond;Suvila;5;59.00;98 000;3 000;65 000;96.36;631.07;222.60;285.91;202.53
2018;II;Põlva maakond;koretr_10_29.99;5.00;26.50;45200.00;1200.00;16000.00;56.07;597.01;264.08;330.61;225.34
2018;II;Põlva maakond;koretr_30_40.99;5.00;38.50;38800.00;2000.00;16000.00;51.15;402.01;178.12;198.92;136.66
2018;II;Põlva maakond;koretr_41_54.99;25.00;47.60;210100.00;550.00;22000.00;13.16;463.16;198.02;173.27;158.00
2018;II;Põlva maakond;koretr_55_69.99;15.00;62.90;201300.00;700.00;33000.00;10.39;487.44;218.98;213.13;176.22
2018;II;Põlva maakond;koretr_70_249.99;15.00;79.20;338301.00;1.00;43000.00;0.01;562.83;241.80;283.57;196.90
2018;II;Põlva maakond;Elamu;21;114.40;778 847;2 500;112 000;50.35;824.83;307.43;329.34;215.53
2018;II;Pärnu maakond;koretr_10_29.99;24.00;25.30;546800.00;1000.00;46600.00;36.36;1973.68;1059.08;904.55;579.39
2018;II;Pärnu maakond;koretr_30_40.99;75.00;36.90;2843099.00;3500.00;85000.00;86.85;2392.55;991.96;1025.94;627.66
2018;II;Pärnu maakond;koretr_41_54.99;117.00;47.90;5408290.00;100.00;125000.00;2.44;2297.79;1030.09;959.22;616.63
2018;II;Pärnu maakond;koretr_55_69.99;67.00;62.40;3922330.00;1500.00;202000.00;24.96;3146.42;901.74;938.74;636.50
2018;II;Pärnu maakond;koretr_70_249.99;49.00;90.40;4389823.00;3800.00;195000.00;47.56;1801.11;1025.64;985.45;498.08
2018;II;Pärnu maakond;Elamu;64;146.40;5 902 030;820;440 000;9.27;1 684.53;621.74;652.78;432.11
2018;II;Pärnu maakond;Muu;1;***;***;***;***;***;***;***;***;***
2018;II;Pärnu maakond;Suvila;18;37.80;472 500;5 000;95 000;199.68;3 846.15;591.22;835.13;843.73
2018;II;Rapla maakond;koretr_10_29.99;5.00;26.30;48900.00;1900.00;18000.00;70.90;669.14;401.79;373.06;278.07
2018;II;Rapla maakond;koretr_30_40.99;13.00;34.40;176725.00;3000.00;30500.00;75.57;847.22;328.27;395.31;267.02
2018;II;Rapla maakond;koretr_41_54.99;29.00;47.00;516050.00;300.00;41000.00;5.84;955.71;277.14;377.69;306.61
2018;II;Rapla maakond;koretr_55_69.99;12.00;65.60;372000.00;11500.00;57000.00;173.45;947.55;375.38;478.08;232.24
2018;II;Rapla maakond;koretr_70_249.99;18.00;77.20;517800.00;5000.00;80000.00;67.02;1079.62;285.85;377.69;275.10
2018;II;Rapla maakond;Elamu;26;160.30;1 978 000;4 500;233 000;24.79;1 196.99;500.62;541.49;423.05
2018;II;Rapla maakond;Suvila;16;46.10;582 500;7 500;97 000;99.08;2 614.56;757.21;889.73;623.29
2018;II;Saare maakond;koretr_10_29.99;2.00;***;***;***;***;***;***;***;***;***
2018;II;Saare maakond;koretr_30_40.99;7.00;***;***;***;***;***;***;***;***;***
2018;II;Saare maakond;koretr_41_54.99;19.00;46.80;604200.00;1000.00;85000.00;21.51;1619.05;671.14;673.72;480.15
2018;II;Saare maakond;koretr_55_69.99;20.00;63.10;871350.00;8000.00;78000.00;137.46;1163.52;767.98;688.69;369.91
2018;II;Saare maakond;koretr_70_249.99;23.00;85.60;1339400.00;6000.00;120000.00;78.13;1207.73;727.04;677.37;300.46
2018;II;Saare maakond;Elamu;15;107.30;912 000;3 000;155 000;40.43;1 393.88;491.40;529.92;347.44
2018;II;Saare maakond;Suvila;1;***;***;***;***;***;***;***;***;***
2018;II;Tartu maakond;koretr_10_29.99;46.00;22.60;1311638.00;5000.00;56000.00;250.95;2146.74;1291.35;1260.33;488.44
2018;II;Tartu maakond;koretr_30_40.99;114.00;35.40;5060625.00;300.00;92000.00;9.17;2433.86;1356.48;1251.51;497.98
2018;II;Tartu maakond;koretr_41_54.99;195.00;48.10;11598991.00;800.00;130000.00;16.39;2594.81;1250.00;1229.50;419.72
2018;II;Tartu maakond;koretr_55_69.99;152.00;62.00;11458046.00;3000.00;194000.00;51.28;3055.12;1239.04;1216.40;416.12
2018;II;Tartu maakond;koretr_70_249.99;166.00;90.10;19380956.00;15000.00;370000.00;140.32;3167.12;1365.34;1306.67;440.25
2018;II;Tartu maakond;Elamu;90;167.60;11 027 052;10 000;315 000;76.10;2 429.91;774.18;853.36;464.21
2018;II;Tartu maakond;Suvila;7;74.10;392 900;16 900;100 000;235.05;1 127.92;917.81;775.43;354.05
2018;II;Valga maakond;koretr_10_29.99;10.00;25.00;20160.00;50.00;4110.00;1.81;150.00;78.76;80.23;52.53
2018;II;Valga maakond;koretr_30_40.99;20.00;36.70;124794.00;1.00;43000.00;0.02;1214.69;87.42;173.04;268.84
2018;II;Valga maakond;koretr_41_54.99;21.00;47.10;214303.00;1.00;134500.00;0.02;3063.78;65.93;225.21;655.64
2018;II;Valga maakond;koretr_55_69.99;22.00;59.80;181103.00;500.00;23000.00;8.98;415.16;80.73;136.47;129.47
2018;II;Valga maakond;koretr_70_249.99;15.00;75.60;266297.00;999.00;70000.00;12.97;904.39;74.07;230.49;318.46
2018;II;Valga maakond;Elamu;18;111.50;563 950;500;110 000;2.62;1 155.46;244.50;328.58;277.31
2018;II;Valga maakond;Suvila;5;45.20;40 000;1 000;14 000;18.35;560.00;137.36;258.14;247.37
2018;II;Viljandi maakond;koretr_10_29.99;8.00;26.60;89200.00;500.00;25000.00;17.67;838.93;352.66;406.95;308.03
2018;II;Viljandi maakond;koretr_30_40.99;33.00;37.40;535954.00;850.00;39900.00;20.78;1031.75;390.39;434.91;327.83
2018;II;Viljandi maakond;koretr_41_54.99;42.00;46.80;669376.00;802.00;47500.00;17.32;1002.11;240.10;339.22;327.94
2018;II;Viljandi maakond;koretr_55_69.99;31.00;62.00;902200.00;500.00;87900.00;8.74;1407.22;357.68;474.82;426.20
2018;II;Viljandi maakond;koretr_70_249.99;22.00;84.20;798059.00;2000.00;130000.00;27.36;1391.08;228.97;424.33;425.85
2018;II;Viljandi maakond;Elamu;43;132.40;2 259 600;500;169 000;7.17;1 197.73;319.77;390.44;309.83
2018;II;Viljandi maakond;Suvila;6;54.40;82 900;8 000;23 000;93.17;511.11;347.51;309.90;158.27
2018;II;Võru maakond;koretr_10_29.99;8.00;23.30;73750.00;1500.00;18000.00;85.32;674.16;383.86;375.01;244.04
2018;II;Võru maakond;koretr_30_40.99;16.00;37.50;207400.00;400.00;38000.00;10.13;1000.00;408.28;344.00;257.68
2018;II;Võru maakond;koretr_41_54.99;26.00;47.40;448299.00;500.00;34000.00;10.06;776.26;395.69;367.43;244.24
2018;II;Võru maakond;koretr_55_69.99;26.00;61.10;635400.00;3000.00;47500.00;44.71;731.32;424.18;398.28;205.09
2018;II;Võru maakond;koretr_70_249.99;9.00;75.20;229500.00;4500.00;39000.00;60.81;556.35;349.65;340.73;138.15
2018;II;Võru maakond;Elamu;33;113.70;1 021 500;500;159 000;5.71;3 853.66;163.71;372.66;675.22
2018;II;Võru maakond;Suvila;8;28.50;42 400;3 000;9 000;41.15;543.48;284.38;288.77;172.93
2018;III;Harju maakond;koretr_10_29.99;219.00;22.00;8383447.00;500.00;111600.00;21.83;4464.00;1872.15;1767.95;761.22
