Näitaja,Lapse vanus leibkonnas,Väärtus,Leibkonna tüüp,Aasta
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik alla 65-aastane,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,121.2,Üksik alla 65-aastane,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik alla 65-aastane,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,129.3,Üksik alla 65-aastane,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik alla 65-aastane,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,133.9,Üksik alla 65-aastane,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik alla 65-aastane,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,146.4,Üksik alla 65-aastane,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik alla 65-aastane,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,154.6,Üksik alla 65-aastane,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik alla 65-aastane,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,156.7,Üksik alla 65-aastane,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik alla 65-aastane,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,160.2,Üksik alla 65-aastane,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik alla 65-aastane,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,161.3,Üksik alla 65-aastane,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,161.3,Üksik alla 65-aastane,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,167.7,Üksik alla 65-aastane,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,167.7,Üksik alla 65-aastane,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,73.0,Üksik 65-aastane või vanem,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,74.4,Üksik 65-aastane või vanem,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,72.8,Üksik 65-aastane või vanem,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,77.9,Üksik 65-aastane või vanem,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,83.0,Üksik 65-aastane või vanem,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,80.5,Üksik 65-aastane või vanem,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,82.8,Üksik 65-aastane või vanem,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,91.1,Üksik 65-aastane või vanem,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,87.7,Üksik 65-aastane või vanem,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,89.0,Üksik 65-aastane või vanem,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,88.8,Üksik 65-aastane või vanem,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,89.4,Üksik 65-aastane või vanem,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,91.9,Üksik 65-aastane või vanem,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,90.1,Üksik 65-aastane või vanem,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Üksik 65-aastane või vanem,2013
