Näitaja,Lapse vanus leibkonnas,Väärtus,Leibkonna tüüp,Aasta
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,53.7,Vähemalt kolme lapsega paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,57.3,Vähemalt kolme lapsega paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,64.8,Vähemalt kolme lapsega paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,77.5,Vähemalt kolme lapsega paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,88.9,Vähemalt kolme lapsega paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,90.8,Vähemalt kolme lapsega paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,85.7,Vähemalt kolme lapsega paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Vähemalt kolme lapsega paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,87.4,Vähemalt kolme lapsega paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,121.8,Vähemalt kolme lapsega paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,86.8,Vähemalt kolme lapsega paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,116.4,Vähemalt kolme lapsega paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,94.5,Ala- ja täisealiste lastega paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,88.3,Ala- ja täisealiste lastega paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,95.1,Ala- ja täisealiste lastega paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,101.2,Ala- ja täisealiste lastega paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,96.7,Ala- ja täisealiste lastega paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,84.3,Ala- ja täisealiste lastega paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,108.1,Ala- ja täisealiste lastega paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,85.9,Ala- ja täisealiste lastega paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,83.0,Ala- ja täisealiste lastega paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,78.1,Ala- ja täisealiste lastega paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,77.9,Ala- ja täisealiste lastega paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,84.5,Ala- ja täisealiste lastega paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,80.2,Ala- ja täisealiste lastega paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,99.5,Ala- ja täisealiste lastega paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,88.3,Ala- ja täisealiste lastega paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,91.9,Ala- ja täisealiste lastega paar,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,95.2,Ala- ja täisealiste lastega paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,92.9,Ala- ja täisealiste lastega paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,91.0,Ala- ja täisealiste lastega paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,79.6,Ala- ja täisealiste lastega paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,86.4,Ala- ja täisealiste lastega paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,89.5,Ala- ja täisealiste lastega paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,93.7,Ala- ja täisealiste lastega paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Ala- ja täisealiste lastega paar,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,110.4,Ala- ja täisealiste lastega paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,41.6,Ala- ja täisealiste lastega paar,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,101.9,Ala- ja täisealiste lastega paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,48.5,Ala- ja täisealiste lastega paar,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-17,144.1,Muu lastega leibkond,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2000
"Leibkonnaliikmete arv, tuhat",Laps 0-17,150.6,Muu lastega leibkond,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2001
"Leibkonnaliikmete arv, tuhat",Laps 0-17,136.3,Muu lastega leibkond,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2002
"Leibkonnaliikmete arv, tuhat",Laps 0-17,143.0,Muu lastega leibkond,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2003
"Leibkonnaliikmete arv, tuhat",Laps 0-17,136.9,Muu lastega leibkond,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2004
"Leibkonnaliikmete arv, tuhat",Laps 0-17,166.4,Muu lastega leibkond,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2005
"Leibkonnaliikmete arv, tuhat",Laps 0-17,129.9,Muu lastega leibkond,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2006
"Leibkonnaliikmete arv, tuhat",Laps 0-17,110.1,Muu lastega leibkond,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2007
"Leibkonnaliikmete arv, tuhat",Laps 0-17,126.2,Muu lastega leibkond,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2008
"Leibkonnaliikmete arv, tuhat",Laps 0-17,117.9,Muu lastega leibkond,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2009
"Leibkonnaliikmete arv, tuhat",Laps 0-17,115.2,Muu lastega leibkond,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2010
"Leibkonnaliikmete arv, tuhat",Laps 0-17,112.8,Muu lastega leibkond,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2011
"Leibkonnaliikmete arv, tuhat",Laps 0-17,109.1,Muu lastega leibkond,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2012
"Leibkonnaliikmete arv, tuhat",Laps 0-17,112.2,Muu lastega leibkond,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2013
"Leibkonnaliikmete arv, tuhat",Laps 0-17,106.1,Muu lastega leibkond,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2014
"Leibkonnaliikmete arv, tuhat",Laps 0-17,110.3,Muu lastega leibkond,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2015
"Leibkonnaliikmete arv, tuhat",Laps 0-17,94.0,Muu lastega leibkond,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2016
"Leibkonnaliikmete arv, tuhat",Laps 0-17,85.0,Muu lastega leibkond,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2017
"Leibkonnaliikmete arv, tuhat",Laps 0-17,85.8,Muu lastega leibkond,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2018
"Leibkonnaliikmete arv, tuhat",Laps 0-17,81.8,Muu lastega leibkond,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2019
"Leibkonnaliikmete arv, tuhat",Laps 0-17,70.3,Muu lastega leibkond,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2020
"Leibkonnaliikmete arv, tuhat",Laps 0-17,63.5,Muu lastega leibkond,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2021
"Leibkonnaliikmete arv, tuhat",Laps 0-17,66.6,Muu lastega leibkond,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-24,,Muu lastega leibkond,2022
"Leibkonnaliikmete arv, tuhat",Laps 0-17,67.8,Muu lastega leibkond,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-24,76.5,Muu lastega leibkond,2023
"Leibkonnaliikmete arv, tuhat",Laps 0-17,68.1,Muu lastega leibkond,2024
"Leibkonnaliikmete arv, tuhat",Laps 0-24,79.1,Muu lastega leibkond,2024
